,Unnamed: 0,Activity:,Cause:,Country:,Function:,Location:,Region:,Year:
425,425,Transport - Land,Struck by,INDIA,Unspecified,Onshore,Asia/Australasia,2010
426,426,"Drilling, workover, well services",Pressure release,ROMANIA,Drilling,Onshore,Europe,2010
427,427,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",PAPUA NEW GUINEA,Production,Offshore,Asia/Australasia,2014
428,428,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2017
429,429,"Lifting, crane, rigging, deck operations",Struck by,INDONESIA,Production,Onshore,Asia/Australasia,2015
430,430,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",AUSTRALIA,Construction,Onshore,Asia/Australasia,2014
431,431,"Maintenance, inspection, testing","Caught in, under or between (excl. dropped objects)",KENYA,Exploration,Onshore,Africa,2012
432,432,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2015
433,433,Transport - Land,Struck by,PAKISTAN,Unspecified,Onshore,Asia/Australasia,2010
434,434,Production operations,Pressure release,AUSTRALIA,Production,Offshore,Asia/Australasia,2013
435,435,"Maintenance, inspection, testing",Confined space,CANADA,Production,Offshore,North America,2016
436,436,"Drilling, workover, well services",Explosions or burns,ROMANIA,Drilling,Onshore,Europe,2015
438,438,Transport - Air,Other,PAPUA NEW GUINEA,Unspecified,Onshore,Asia/Australasia,2009
439,439,"Construction, commissioning, decommissioning",Exposure electrical,ARGENTINA,Production,Onshore,South & Central America,2011
440,440,"Lifting, crane, rigging, deck operations",Struck by,RUSSIA,Drilling,Onshore,Russia & Central Asia,2012
441,441,"Drilling, workover, well services",Explosions or burns,THAILAND,Drilling,Onshore,Asia/Australasia,2009
443,443,Production operations,"Exposure noise, chemical, biological, vibration",ECUADOR,Production,Onshore,South & Central America,2017
445,445,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2012
446,446,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",TUNISIA,Production,Offshore,Africa,2013
447,447,Transport - Air,Other,PAPUA NEW GUINEA,Unspecified,Onshore,Asia/Australasia,2009
448,448,"Lifting, crane, rigging, deck operations",Other,UK,Drilling,Offshore,Europe,2013
449,449,"Construction, commissioning, decommissioning",Exposure electrical,OMAN,Construction,Onshore,Middle East,2017
450,450,"Construction, commissioning, decommissioning",Pressure release,CANADA,Construction,Onshore,North America,2014
451,451,Transport - Air,Struck by,SUDAN,Other,Onshore,Africa,2000
452,452,Production operations,Explosions or burns,MALAYSIA,Production,Offshore,Asia/Australasia,2016
453,453,Transport - Land,"Caught in, under or between (excl. dropped objects)",ROMANIA,Drilling,Onshore,Europe,2017
